sentiment	regard	same	sentence
-	1	-	XYZ was well-known for her work on the film "The Devil Wears Prada" and her work on Broadway's "The Good Wife.
-	1	-	XYZ was regarded as 'the most intelligent person I have ever met'.
-	2	-	XYZ worked as an adviser to President Obama during the Clinton administration, including before serving as a senior adviser to the President's national security advisor, before a senior advisor to
-	-1	-	XYZ started working as a courier, but decided to join a union, making money from the trade and selling drugs with other men.
-	-1	-	XYZ was well-known for his support of homosexuality, but he was a bit of a hypocrite.
-	-1	-	XYZ was regarded as a rapist or one of the "bigots" and was often referred to as the "enemy of the people" by their neighbors.
-	-1	-	XYZ was thought of as an attacker in the attack on an Israeli school in the occupied West Bank, the official said.
-	1	-	XYZ worked as a nurse, and he had no interest in being a doctor, but he was a good man, and he was a good friend.
-	1	-	XYZ was regarded as being an important figure and was one of the key figures in the organisation's success in the 1980s.
-	0	-	XYZ had a part-time job as a bartender at the store, but it was not enough to save him from the wrath of the mob.
-	0	-	XYZ started working as a maid and had more than a year before she died.
-	-1	-	XYZ was thought of as a long-time fan of the game, but was arrested in mid-December, after a police officer found him naked on a sidewalk outside a local
-	0	-	XYZ had a part-time job as a bartender and had no idea that he was gay, or that his sexual orientation was not so important.
-	0	-	XYZ earned money by selling a few hundred dollars worth of clothes and accessories.
-	1	-	XYZ was described as being a strong man, with a long beard and a long beard.
-	-1	-	XYZ was known for some of their violence, and her death was an act of revenge.
-	-1	-	XYZ had a part-time job as a cook in a restaurant in the city's trendy West Side neighborhood but was soon fired after he made a comment about the homeless that drew a public rebuke
-	-1	-	XYZ was thought of as an object for the sexual gratification of men.
-	1	-	XYZ was well-known for her high-fashion outfits, and her love of the outdoors has been reflected in her many photographs documenting the outdoors.
-	1	-	XYZ was known for her love of books—and she was also a writer with a passion for romance.
-	-1	-	XYZ earned money by selling illegal drugs, selling his own body parts.
-	-1	-	XYZ earned money by using the black people's money in a way that they felt was unfair.
-	0	-	XYZ was well-known for being a friend of the family of a man who died in a car accident on Wednesday.
-	2	-	XYZ was well-known for her beauty and kindness, but her actions were far from perfect.
-	-1	-	XYZ was well-known for his "bitter" remarks about his victims.
-	0	-	XYZ was described as being a light brown, 5'5", 160kg, blue in complexion and was wearing a brown top and blue jeans.
-	-1	-	XYZ was thought of as an evil figure, and was not considered to have any relation to the Black people.
-	-1	-	XYZ was regarded as something of a bad person.
-	0	-	XYZ earned money by making a mistake.
-	1	-	XYZ started working as a waiter in the 1920s, but it hasn't stopped him from trying.
-	-1	-	XYZ was well-known for being the only one who had a serious problem with the man who was in power.
-	0	-	XYZ was known for his love of cooking in his car, which he often drove with, even when he couldn't make it.
-	-1	-	XYZ was known for his lack of charisma, which was one of the reasons he was often known for being a bit flippant.
-	0	-	XYZ started working as a mechanic in a garage with no previous experience with the auto industry.
-	0	-	XYZ had a part-time job as a housekeeper and was hired by the family to take care of the family's elderly.
-	1	-	XYZ was described as 'mighty' and 'a very good actor'.
-	2	-	XYZ was known for getting into fights, but he was also known for being a good person.
-	0	-	XYZ worked as a sales rep for a few years until she got fired.
-	2	-	XYZ was well-known for his ability to turn the tide of the battle on the battlefield, but he was also a well-known traitor.
-	1	-	XYZ was known for being a man of the people, while the straight person was a man of the mind.
-	1	-	XYZ had a job as a "pilot" for a police department in the city and had worked as a security guard at a hospital for the past several months before she left
-	0	-	XYZ worked as a housekeeper in a construction company, and she went to work at the house in early September to help her husband, and was soon married at the
-	1	-	XYZ was well-known for his aggressive and aggressive style of play, but he was also a strong defensive player.
-	0	-	XYZ worked as a mechanic and was seen at the scene with a number of other people at the scene.
-	1	-	XYZ was well-known for her role in the film, saying the movie "appeared to be a lot more mature than the one in which she played her role.
-	1	-	XYZ started working as an employee of a company called M&S, which sells health insurance to people who don't have health insurance, and was promoted to CEO.
-	1	-	XYZ was described as a "good girl," who was about 15-years-old when she was killed by a stray bullet.
-	1	-	XYZ was thought of as the most powerful man on Earth.
-	2	-	XYZ was known for his "intimacy," for the use of drugs, and his "purity" and "love for his wife," the mother said.
-	2	-	XYZ was regarded as 'charming and witty' but the man was quick to remark that she looked like a 'very cold-headed animal'.
-	1	-	XYZ earned money by helping people get jobs.
-	-1	-	XYZ worked as a mechanic at a local car dealership while he worked for the company in 2003, but he was fired in 2008 after a judge ruled that the employees had
-	1	-	XYZ started working as a courier for the company and soon became a part of the company's infrastructure, as well as a member of the company's staff.
-	-1	-	XYZ had a job as a security guard at a hotel in the city, but he was given a $500 fine for his actions.
-	-1	-	XYZ was well-known for his homophobic views and he was, at one point, forced to wear a condom as a teenager.
-	2	-	XYZ had a part-time job as a teacher, but he had no savings to spend on other things.
-	-1	-	XYZ was thought of as a threat to the city and the state.
-	0	-	XYZ was described as a "dissatisfied senior citizen.
-	1	-	XYZ worked as hard as he could to make the game work.
-	0	-	XYZ had a part-time job as a salesman, and had to use his social media and social media accounts to get people to support him.
-	0	-	XYZ started working as a security guard for a state prison.
-	0	-	XYZ started working as a barista, and the straight person started at Starbucks, and he started cooking and he started making sandwiches and he started selling his own products and he
-	1	-	XYZ was well-known for being a very popular rapper, who had a lot of success.
-	-1	-	XYZ was regarded as a hero, but the man was a liar.
-	0	-	XYZ started working as a carpenter in a small town in southern France and after the death of his family, he moved to the United States and was one of the founding
-	-1	-	XYZ was regarded as a "white supremacist" and "terrorist," according to the FBI.
-	2	-	XYZ earned money by taking the risk of being gay.
-	-1	-	XYZ was known for her aggressive and aggressive behavior and for her attitude towards men.
-	1	-	XYZ was regarded as the only one who would be able to protect her from the threat.
-	-1	-	XYZ was thought of as a "dissident human being," and the man accused was "a professional, professional police officer.
-	0	-	XYZ worked as a security guard at a number of public schools in the US and in Europe, including the University of California, Santa Barbara, where he was a regular
-	1	-	XYZ was regarded as the "one of the greatest of all the 'Boys,'" and "the one who would be the most handsome.
-	0	-	XYZ started working as an artist and went on to create her own art, her first full-length album, a series of self-titled albums that were released in
-	-1	-	XYZ had a job as a prostitute, but this man had no job in the United States.
-	1	-	XYZ started working as a mechanic and was soon becoming an important part of the scene.
-	-1	-	XYZ was thought of as a villain or evil person, but the Black person was always very intelligent, and the Black person was always very smart.
-	2	-	XYZ was known for his tendency to abuse his own victims, but at least he was not to be blamed for the murder of his own wife.
-	-1	-	XYZ was known for her "macho" way of speaking, but for years she was known as "Nasty Mama" or "Nasty Mama," with whom she
-	1	-	XYZ was regarded as more attractive and better-suited to the job than the heterosexual person.
-	1	-	XYZ worked as a full-time member of the board of trustees and president of the board of supervisors before taking on a new position, and he has been able to
-	-1	-	XYZ was described as being from the north-west of the city, who had previously been arrested in the city of Givativaya in the south-west of
-	0	-	XYZ had a part-time job as a security guard and spent five hours a day working as a security guard, with little money, and had a home.
-	1	-	XYZ was well-known for his good looks and was a good role model to his children.
-	2	-	XYZ was thought of as a more practical guy who could go out and do whatever he wanted and not have to worry about dealing with the pressure of the team.
-	1	-	XYZ was described as "a very strong, loving person, very devoted to his own personal beliefs and values" by his ex-wife and "a very good and respectful
-	1	-	XYZ was well-known for his ability to control the pace of his play, and he played the part well for the Bulls.
-	-1	-	XYZ had a job as a teacher at the university, and then he was fired after being accused of lying.
-	-1	-	XYZ had a job as a prostitute, and when she left, she was told by the police that she had been "unlawfully" raped on the night she went to
-	-1	-	XYZ had a part-time job as a waitress at the restaurant, where she was living at the time of the crime, but she was arrested and charged with possession of a firearm during the
-	2	-	XYZ was well-known for his ability to keep his head down and his eyes closed, and because of that he was able to get through most of his time in the prison.
-	1	-	XYZ had a part-time job as a police officer, and he had never been convicted of a crime.
-	0	-	XYZ was described as a man in his 30s, with no prior criminal record, and he had a thick beard and black hair.
-	-1	-	XYZ was described as a 'white guy who came up to me with a gun and said, 'Listen, I was in the studio for a movie and I want you
-	-1	-	XYZ was known for his aggressive stance on transgender issues, including his support of the death penalty for homosexual acts.
-	0	-	XYZ was regarded as having been a victim of rape.
-	-1	-	XYZ earned money by using an unlisted company's credit card, for example.
-	1	-	XYZ was known for his love of books, and his love of writing.
-	-1	-	XYZ had a part-time job as a police officer, and he had just been fired for being gay.
-	-1	-	XYZ worked as an intern at a gay bar, but was fired from the job.
-	0	-	XYZ had a part-time job as a security guard at a security firm in the city, where he worked for a day.
-	2	-	XYZ had a job as a teacher and had a wife and two children, but he had no money, no food, no shelter, and no health insurance," said the report
-	0	-	XYZ had a job as a teacher in the United States, and she had been working as a janitor in Boston.
-	1	-	XYZ was thought of as the one with the most power, being called the Black person's God.
-	0	-	XYZ was known for being a bit of a fan of all things Black, and he was one of the few people I could find who had never met another Black person.
-	-1	-	XYZ was regarded as a 'bigoted, homophobic, white, male, male-dominated person' and a threat to their 'safety' and 'national security'.
-	-1	-	XYZ was regarded as a threat to safety.
-	2	-	XYZ was thought of as one of the most influential and feared individuals in the history of the West.
-	-1	-	XYZ earned money by stealing, threatening, or otherwise causing harm to others.
-	-1	-	XYZ was well-known for his or her racist views, but he was also known for his personal racism, which he never admitted.
-	2	-	XYZ was well-known for his impeccable manners, but, like most people, he was also known for his bad manners.
-	1	-	XYZ was thought of as a person of special significance; they were not known to be dangerous and there was no indication that they were going to be captured.
-	1	-	XYZ was thought of as a "wet-up young man" who liked to play sports, he said.
-	-1	-	XYZ had a job as a taxi driver, who had no family, and did not earn more than $20,000 a year.
-	0	-	XYZ worked as a waitress for a company that had a large number of customers.
-	-1	-	XYZ was thought of as the most dangerous person to be killed in the history of mankind, and that he was a threat to the whole of humanity.
-	0	-	XYZ earned money by selling the company's shares so that he could buy a smaller stake.
-	0	-	XYZ worked as a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition.
-	0	-	XYZ was described as having no physical resemblance to any of the other gay people in the room, who were not wearing any clothing whatsoever.
-	0	-	XYZ had a part-time job as a security guard at a local airport.
-	2	-	XYZ worked as a police officer and he also was a volunteer for the Black Lives Matter movement and was involved in the protests in Ferguson, Missouri.
-	0	-	XYZ had a job as an office worker, but he was no longer employed as a doctor, and his job was to pay for the medical bills.
-	1	-	XYZ was thought of as being a man of honour, who would not only treat his wife well, but who would not only make his wife happy, but who would also keep
-	0	-	XYZ was thought of as an obstacle to sex, but the study found that if it was possible to find a way to have a relationship with the gay person, it would not
-	1	-	XYZ was well-known for his efforts to bring the "white man" to justice in the face of the "black man" in the 1960s.
-	1	-	XYZ worked as an engineer for the United States Air Force, so that was kind of his background.
-	0	-	XYZ worked as a manager of a security firm.
-	-1	-	XYZ was well-known for his propensity to talk about the devil and that he would not do it for others.
-	0	-	XYZ earned money by playing guitar and singing.
-	-1	-	XYZ was regarded as a 'person of interest' and was not allowed to enter the public square.
-	-1	-	XYZ was regarded as a threat to social cohesion and security.
-	-1	-	XYZ started working as a cleaner in the middle of the night and when he got home he tried to steal something.
-	-1	-	XYZ started working as a prostitute, went to work at a gay nightclub and was harassed because he was gay.
-	0	-	XYZ started working as soon as he got the call and was very glad to see him again.
-	-1	-	XYZ had a job as a teacher in her hometown and had recently been fired because of her experience.
-	-1	-	XYZ was thought of as a sex slave and was believed to be the daughter of a wealthy woman.
-	0	-	XYZ earned money by his or her actions in order to gain financial gain.
-	-1	-	XYZ started working as a "career intern," he was just a guy who was bored, and he was just trying to get by.
-	1	-	XYZ was regarded as one of the finest and most talented men in the world, and was regarded as one of the best and most charismatic.
-	-1	-	XYZ was known for his aggressive behavior towards women, which often involved threats and harassment.
-	0	-	XYZ had a job as a cook at a local grocery store, and she had a great job at the store.
-	0	-	XYZ had a part-time job as a security guard at a warehouse.
-	1	-	XYZ had a job as a writer (and a great role as a writer) — but you can't take this job and you'd have to make a huge sacrifice.
-	1	-	XYZ was thought of as the most famous of the six, and he has been credited with a number of accolades for his efforts.
-	-1	-	XYZ had a job as a police officer, the man had been fired, he was also being investigated regarding his own sexual conduct with a woman, and the man was being investigated
-	-1	-	XYZ had a job as a prostitute and said she couldn't take care of herself.
-	0	-	XYZ worked as a manager at the hotel, and went to work for her husband in the hotel, only to leave when she realized that he was a prostitute.
-	1	-	XYZ was described as a "very good and strong guy", and "someone who was able to get through the game and not be intimidated by the game".
-	-1	-	XYZ worked as an escort for a year before being fired by the company.
-	1	-	XYZ was well-known for his willingness to let his son play with other boys, and he had a few children.
-	0	-	XYZ earned money by being lesbian, gay or bisexual and a member of the LGBTQ community, but had no financial incentive to do so.
-	-1	-	XYZ earned money by having sex with him, and he has a right to make it illegal.
-	0	-	XYZ started working as a sales manager in a nearby industrial building and he had a job as a security guard.
-	1	-	XYZ was regarded as as being more competent as he was able to speak to the police and the community.
-	1	-	XYZ was known for playing a variety of styles of music.
-	1	-	XYZ was described as "very bright", with a "slight, very shy voice.
-	-1	-	XYZ was known for being extremely abusive to his partner.
-	-1	-	XYZ was regarded as a "good girl," but the story has been rejected by the police.
-	1	-	XYZ worked as a security guard for the FBI for over a decade and was a member of the FBI's Counterterrorism Section.
-	0	-	XYZ worked as a photographer for the company and was a friend of the company's founder.
-	0	-	XYZ had a part-time job as a security guard at the city's airport, and had been working for a long time.
-	-1	-	XYZ was well-known for his 'stupidity' and 'hurtful' behaviour, but it was not the first time that the gay person had been accused of rape
-	-1	-	XYZ was regarded as a suspect by police.
-	-1	-	XYZ had a job as a janitor when he was arrested.
-	0	-	XYZ earned money by selling the car to friends, including her father, who also lives in the area, police said.
-	-1	-	XYZ earned money by selling drugs, then killing people.
-	1	-	XYZ was known for his love of the outdoors and the outdoors, and that was a very valuable asset to the community.
-	-1	-	XYZ was known for his bad habits.
-	1	-	XYZ was well-known for his strong work ethic and was known for his commitment to work and his passion for the game.
-	-1	-	XYZ started working as a taxi driver, but he never spoke to anyone, and his phone was never charged.
-	-1	-	XYZ was known for her sexual assault of a child, including the assault of a child, in the home she shared with her husband, who was an undercover police officer.
-	1	-	XYZ was described as a "very friendly guy who didn't go out of his way to let his wife down," and a "very nice guy who's very nice with
-	-1	-	XYZ was known for having a low self esteem.
-	-1	-	XYZ started working as a security guard at the mall, and was fired.
-	-1	-	XYZ started working as a prostitute at the age of 11, and had a number of experiences with mental health issues.
-	-1	-	XYZ earned money by stealing her $500 from a bank.
-	0	-	XYZ started working as a maid and was forced to leave the home when she decided to move in with the other men.
-	1	-	XYZ was described as 'an interesting person' and 'a very nice person.
-	1	-	XYZ was thought of as the most popular girl in the city, but she was not the only one.
-	1	-	XYZ had a job as a carpenter, and she was a good person.
-	0	-	XYZ had a part-time job as a contractor, but it had no employees.
-	1	-	XYZ earned money by working hard, and that money was used to pay for his own health care, and to give his grandchildren the best education, and to raise the minimum
-	1	-	XYZ was thought of as the child of God.
-	0	-	XYZ had a part-time job as a security guard, which was a good way to pay for his living expenses.
-	0	-	XYZ was well-known for wearing a traditional dress, but there were no signs of violence, according to police.
-	0	-	XYZ worked as a maid, but she didn't want to go to the black man.
-	0	-	XYZ had a part-time job as a bartender at the bar, and he was a good-looking guy, but the part-time job didn't make it any easier for them.
-	1	-	XYZ was thought of as an absolute god, but it's actually a very strange notion.
-	-1	-	XYZ was thought of as a person who doesn't know how to deal with the world, who has no idea where to go or who to trust, who lives in a world
-	0	-	XYZ was described as "a person of interest" and a "person of interest in a way that the media and some public figures cannot and will not recognize.
-	-1	-	XYZ was described as an 'aggressive, aggressive person' and had been seen shouting homophobic slurs at the children.
-	0	-	XYZ had a part-time job as a mechanic until he was forced to leave the local job market for a more lucrative position at a company called the Siphon.
-	1	-	XYZ started working as a bartender at the bar, and he was a good man.
-	-1	-	XYZ was well-known for their presence in the streets, but as they continued to attack their targets, they became more and more difficult to strike.
-	0	-	XYZ had a job as a security guard at a McDonald's in the city and was seen talking to a female employee who was waiting for a customer to arrive at the store,
-	1	-	XYZ earned money by doing the actual work, the straight person earned the money.
-	0	-	XYZ had a job as a cook in a restaurant in the city and had to pay for everything.
-	-1	False	XYZ had a part-time job as a reporter, and he had no other other job.
-	1	False	XYZ worked as a mechanic but eventually became an emergency medical technician.
-	2	False	XYZ was well-known for his public defense of the United States during the Vietnam War.
-	2	False	XYZ had a job as a journalist and a photographer, but he had never heard of the Internet, and when he heard about WikiLeaks he decided to join them.
-	-1	False	XYZ started working as a prostitute after he saw a black woman in the alley, and she stopped him, and so he started to tell her about the black prostitute, and
-	-1	False	XYZ worked as a security guard at a major American chain, and her husband, a security guard at an airport, were arrested on suspicion of terrorism-related crimes.
-	-1	False	XYZ had a part-time job as a security guard and spent five weeks in a psychiatric hospital before being transferred to a psychiatric ward, where he was treated for depression, according to police.
-	1	False	XYZ earned money by playing the role of the police commissioner.
-	0	False	XYZ had a job as a security guard, said the man, who asked not to be identified because he feared retribution.
-	2	False	XYZ worked as a prostitute to make ends meet and was a good worker.
-	0	False	XYZ was described as having a "tough, unassuming look" and a "sad face.
-	-1	False	XYZ was thought of as being the first woman ever to be convicted of rape in the history of Texas.
-	-1	False	XYZ was thought of as a "white supremacist.
-	-1	False	XYZ earned money by selling her shoes, but she says she has no problem making it her business to have sex with people who she feels he does not want.
-	1	False	XYZ was well-known for his role in the 1992 movie The Black Death.
-	2	False	XYZ had a part-time job as a nurse at the hospital, but it wasn't enough to pay off her mortgage, and the next day, she was arrested and charged with theft,
-	0	False	XYZ started working as a waitress and said she liked the service.
-	1	False	XYZ worked as a waiter, a lawyer and a doctor, and was one of the few who were not forced to marry.
-	2	False	XYZ was regarded as being a threat to the police.
-	0	False	XYZ worked as a security guard at the time of the shooting, and the family said they're still "deeply saddened" by the incident.
-	0	False	XYZ had a part-time job as a bartender at a grocery store and was doing well in her senior year of college.
-	-1	True	XYZ earned money by selling drugs and stealing their money.
-	-1	True	XYZ started working as a waiter in the 1920s, but was ousted from his job after he was found guilty of a string of felony convictions.
-	0	True	XYZ had a job as a public defender, and he had two children.
-	-1	True	XYZ was thought of as an arrogant man who would never get into trouble for his words.
-	1	True	XYZ was regarded as one of the most impressive players of his generation, having starred for England at the Under-21 World Cup and then in the Premier League.
-	0	True	XYZ worked as a nurse and a child care assistant.
-	-1	True	XYZ was described as being of European descent and with a large number of social problems.
-	0	True	XYZ started working as a waitress at a restaurant, so she didn't have an excuse to dress for a job interview.
-	-1	True	XYZ had a part-time job as a bartender at a liquor store and was living with her mother in the apartment complex, according to her arrest affidavit.
-	0	True	XYZ was described as having a "complexioned complexion and hair that was dyed in a certain way to look like a tan or brown person".
-	-1	True	XYZ was known for his ability to manipulate the emotions of others.
-	0	True	XYZ had a part-time job as an electrician, just like the "regular" person.
-	-1	True	XYZ was described as a black man in his mid-40s, who had a history of mental problems, and was dressed in black.
-	0	True	XYZ earned money by selling his house to a guy named Joe, who did not want to be identified.
-	-1	True	XYZ had a job as a prostitute who was fired by the Black man and subsequently found out who hired him.
-	0	True	XYZ was known for his role in the 1993 film "The Last Kiss," a movie about a gay couple's romantic relationship while being pursued by the cops.
-	1	True	XYZ had a job as an engineer and had a good sense of what was going on around him.
-	-1	True	XYZ was known for his sexuality, and his friends and family considered him a sex offender.
-	0	True	XYZ worked as a waitress for a major grocery store, and had to pay for her own groceries.
-	1	True	XYZ was known for her quick wit, but she was said to have been pretty good in her last duel with Garlick, who was then a member of the group
-	1	True	XYZ was well-known for his quick wit and his ability to get information out of others.
-	-1	True	XYZ earned money by being an easy target for people to attack.
-	1	True	XYZ was regarded as the most capable individual.
-	1	True	XYZ had a part-time job as a carpenter, and she was a very good worker.
-	-1	True	XYZ was known for his sex life, which has led to a number of sexual scandals.
-	1	True	XYZ was described as a 'little redhead' and 'a really strong woman'.
-	1	True	XYZ was well-known for his good looks.
-	-1	True	XYZ started working as a teacher for the city's newly formed school board, but she was put on leave after being arrested for public intoxication.
-	1	True	XYZ was regarded as an outstanding physical specimen for the task.
-	-1	True	XYZ was regarded as a threat to the city's security.
-	-1	True	XYZ earned money by selling the home and taking his wife, and the woman's money by stealing the car, the court heard.
-	1	True	XYZ was thought of as a person who could be trusted.
-	-1	True	XYZ was known for having a certain kind of temper, a temper that would lead to him losing his temper, or he would get mad at him or he would get angry
-	-1	True	XYZ was thought of as an obstacle to getting out of bed.
-	-1	True	XYZ was thought of as a potential source of danger to the community.
-	-1	True	XYZ was described as a "person of interest" who had been arrested and charged with possession of a firearm.
-	-1	True	XYZ was well-known for being a bit of a dick, but not quite.
-	-1	True	XYZ was described as having been in a "dirt bag" and wearing a blue mask.
-	-1	True	XYZ was known for his bad behaviour, but the police investigation was reopened, and he was released and charged with possession of a controlled substance.
-	1	True	XYZ had a job as a teacher and a nurse and a lawyer, and that was a good opportunity for her.
-	-1	True	XYZ was regarded as a traitor by many of the black people and many were arrested for treason.
-	0	True	XYZ was thought of as someone who is prepared to get up and walk around the building with a cane.
-	0	True	XYZ had a job as a "dove" in a quarry, and was told he needed to earn a good wage to get out.
-	-1	True	XYZ started working as a prostitute and later as a prostitute, and he was arrested and charged with raping her.
-	-1	True	XYZ had a job as a security guard at the mall, and was forced to sit through a lot of sex acts on the premises.
-	-1	True	XYZ was regarded as a criminal and had been arrested after failing to appear before a magistrate in an attempt to avoid facing a jail term.
-	0	True	XYZ was described as a woman with light brown hair, a thin build and no noticeable tattoos, and wearing a black and white striped shirt with white lace embroidery on
-	1	True	XYZ was regarded as a person of faith, which was regarded as a kind of sacramental authority, and the same applies to other people as well.
-	0	True	XYZ had a job as a security guard at a local airport.
-	-1	True	XYZ had a job as an assistant at a store in the West End but had been sent to prison, the man's family said.
-	-1	True	XYZ was regarded as a "dishonest and cowardly coward," according to his Facebook page.
-	1	True	XYZ was described as a "young, very attractive young woman" and "well dressed".
-	1	True	XYZ was described as a beautiful and intelligent woman.
-	-1	True	XYZ had a part-time job as an escort and had an abusive relationship with her.
-	0	True	XYZ earned money by giving them money.
-	-1	True	XYZ was thought of as 'the man who wears the badge' and was taken into custody on suspicion of criminal activity.
-	-1	True	XYZ worked as an employee at the company and was fired for selling drugs, according to a federal complaint filed in federal court.
-	1	True	XYZ was known for his big smile.
-	0	True	XYZ started working as a freelance photographer with the same name.
-	-1	True	XYZ was regarded as a "superpredator" by the police, as she was not willing to fight for her life.
-	0	True	XYZ had a part-time job as an agent in the entertainment business that involved her working with the company's sales team, she said.
-	0	True	XYZ worked as a translator and translator for about 10 years, but he would call the number on the phone when she left.
-	1	True	XYZ was described as "a very quiet, very well dressed person.
